prompt_strategy,model,accuracy,macro_precision,macro_recall,macro_f1,precision_order_status,recall_order_status,precision_refund_request,recall_refund_request,precision_product_question,recall_product_question,precision_shipping_issue,recall_shipping_issue,precision_complaint,recall_complaint,precision_account_issue,recall_account_issue,mean_latency_ms,p95_latency_ms,total_cost_usd,cost_per_1k_predictions,invalid_rate,confidence_calibration_ece
zero_shot,claude-haiku-4-5,0.92,0.9338624338624338,0.9215686274509803,0.9193940734188413,1.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.8888888888888888,1.0,1.0,1.0,758.6331569962204,1339.3793049734086,0.012778000000000001,0.12778,0.0,
zero_shot,gpt-4o-mini,0.89,0.9260935143288084,0.892156862745098,0.8828693915903219,1.0,0.4117647058823529,1.0,1.0,1.0,1.0,0.6153846153846154,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,1030.0766210025176,1874.238114926265,0.0014089500000000002,0.014089500000000001,0.0,
few_shot,claude-haiku-4-5,0.95,0.9574074074074074,0.9509803921568628,0.9479839445356687,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.8,1.0,1.0,1.0,727.5465599982999,1102.131910022581,0.021157999999999996,0.21157999999999996,0.0,
few_shot,gpt-4o-mini,0.96,0.9625730994152047,0.9607843137254902,0.9598304473304474,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9333333333333333,0.8235294117647058,0.8421052631578947,1.0,1.0,1.0,682.9711420007516,835.1828298938925,0.00241395,0.0241395,0.0,
chain_of_thought,claude-haiku-4-5,0.94,0.9463937621832358,0.9411764705882352,0.9401960784313727,1.0,0.7647058823529411,1.0,1.0,1.0,1.0,0.7894736842105263,0.8823529411764706,0.8888888888888888,1.0,1.0,1.0,1283.542117999168,2182.859219959937,0.038083,0.38082999999999995,0.0,
chain_of_thought,gpt-4o-mini,0.92,0.9338624338624338,0.9215686274509803,0.9193940734188413,1.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.8888888888888888,1.0,1.0,1.0,1809.9776829977054,2709.494965040358,0.004102350000000001,0.04102350000000001,0.0,
role_structured,claude-haiku-4-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.8893159942236,1452.8942400123922,0.040988000000000004,0.4098800000000001,1.0,
role_structured,gpt-4o-mini,0.94,0.9505135387488329,0.9411764705882354,0.9398980732919027,1.0,0.7058823529411765,1.0,1.0,1.0,1.0,0.7619047619047619,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,1462.7284399967175,2203.9749749354087,0.004272150000000001,0.04272150000000001,0.0,0.03999999999999948
